1,""MANAGERS, DIRECTORS AND SENIOR OFFICIALS",3486
6141,"Nursing auxiliaries and assistants",338
6142,"Ambulance staff (excluding paramedics)",24
6143,"Dental nurses",53
6144,"Houseparents and residential wardens",46
6145,"Care workers and home carers",759
6146,"Senior care workers",81
6147,"Care escorts",16
6148,"Undertakers, mortuary and crematorium assistants",18
621,"Leisure and Travel Services",205
6211,"Sports and leisure assistants",72
6212,"Travel agents",37
6214,"Air travel assistants",49
6215,"Rail travel assistants",23
6219,"Leisure and travel service occupations n.e.c.4",24
622,"Hairdressers and Related Services",259
6221,"Hairdressers and barbers",162
6222,"Beauticians and related occupations",98
623,"Housekeeping and Related Services",117
6231,"Housekeepers and related occupations",47
6232,"Caretakers",70
624,"Cleaning and Housekeeping Managers and Supervisors",85
6240,"Cleaning and housekeeping managers and supervisors",85
7,"SALES AND CUSTOMER SERVICE OCCUPATIONS",2461
711,"Sales Assistants and Retail Cashiers",1428
7111,"Sales and retail assistants",1079
7112,"Retail cashiers and check-out operators",200
7113,"Telephone salespersons",25
7114,"Pharmacy and other dispensing assistants",80
7115,"Vehicle and parts salespersons and advisers",43
712,"Sales Related Occupations",172
7121,"Collector salespersons and credit agents",11
7122,"Debt, rent and other cash collectors",30
7123,"Roundspersons and van salespersons",29
7124,"Market and street traders and assistants",19
7125,"Merchandisers and window dressers",29
7129,"Sales related occupations n.e.c.4",52
713,"Sales Supervisors",201
7130,"Sales supervisors",201
721,"Customer Service Occupations",476
7211,"Call and contact centre occupations",115
7213,"Telephonists",13
7214,"Communication operators",33
7215,"Market research interviewers",10
7219,"Customer service occupations n.e.c.4",305
722,"Customer Service Managers and Supervisors",185
7220,"Customer service managers and supervisors",185
8,"PROCESS, PLANT AND MACHINE OPERATIVES",2064
811,"Process Operatives",229
8111,"Food, drink and tobacco process operatives",132
8112,"Glass and ceramics process operatives",5
8113,"Textile process operatives",13
8114,"Chemical and related process operatives",35
8115,"Rubber process operatives",5
8116,"Plastics process operatives",14
8117,"Metal making and treating process operatives",9
8118,"Electroplaters",0
8119,"Process operatives n.e.c.4",12
812,"Plant and Machine Operatives",166
8121,"Paper and wood machine operatives",24
8122,"Coal mine operatives",0
8123,"Quarry workers and related operatives",7
8124,"Energy plant operatives",6
8125,"Metal working machine operatives",70
8126,"Water and sewerage plant operatives",11
8127,"Printing machine assistants",16
8129,"Plant and machine operatives n.e.c.4",28
813,"Assemblers and Routine Operatives",256
8131,"Assemblers (electrical and electronic products)",28
8132,"Assemblers (vehicles and metal goods)",52
8133,"Routine inspectors and testers",69
8134,"Weighers, graders and sorters",16
8135,"Tyre, exhaust and windscreen fitters",16
8137,"Sewing machinists",33
8139,"Assemblers and routine operatives n.e.c.4",42
814,"Construction Operatives",173
8141,"Scaffolders, stagers and riggers",35
8142,"Road construction operatives",21
8143,"Rail construction and maintenance operatives",12
8149,"Construction operatives n.e.c.4",106
821,"Road Transport Drivers",984
8211,"Large goods vehicle drivers",323
8212,"Van drivers",276
8213,"Bus and coach drivers",138
8214,"Taxi and cab drivers and chauffeurs",208
8215,"Driving instructors",41
822,"Mobile Machine Drivers and Operatives",174
8221,"Crane drivers",16
8222,"Fork-lift truck drivers",90
8223,"Agricultural machinery drivers",10
8229,"Mobile machine drivers and operatives n.e.c.4",58
823,"Other Drivers and Transport Operatives",81
8231,"Train and tram drivers",29
8232,"Marine and waterways transport operatives",8
8233,"Air transport operatives",14
8234,"Rail transport operatives",9
8239,"Other drivers and transport operatives n.e.c.4",20
9,"ELEMENTARY OCCUPATIONS",3454
911,"Elementary Agricultural Occupations",94
9111,"Farm workers",65
9112,"Forestry workers",8
9119,"Fishing and other elementary agriculture occupations n.e.c.4",22
912,"Elementary Construction Occupations",179
9120,"Elementary construction occupations",179
913,"Elementary Process Plant Occupations",238
9132,"Industrial cleaning process occupations",27
9134,"Packers, bottlers, canners and fillers",128
9139,"Elementary process plant occupations n.e.c.4",83
921,"Elementary Administration Occupations",200
9211,"Postal workers, mail sorters, messengers and couriers",161
9219,"Elementary administration occupations n.e.c.4",38
923,"Elementary Cleaning Occupations",720
9231,"Window cleaners",30
9232,"Street cleaners",13
9233,"Cleaners and domestics",575
9234,"Launderers, dry cleaners and pressers",32
9235,"Refuse and salvage occupations",38
9236,"Vehicle valeters and cleaners",24
9239,"Elementary cleaning occupations n.e.c.4",7
924,"Elementary Security Occupations",327
9241,"Security guards and related occupations",202
9242,"Parking and civil enforcement occupations",13
9244,"School midday and crossing patrol occupations",91
9249,"Elementary security occupations n.e.c.4",21
925,"Elementary Sales Occupations",144
9251,"Shelf fillers",110
9259,"Elementary sales occupations n.e.c.4",34
926,"Elementary Storage Occupations",488
9260,"Elementary storage occupations",488
927,"Other Elementary Services Occupations",1064
9271,"Hospital porters",21
9272,"Kitchen and catering assistants",507
9273,"Waiters and waitresses",261
9274,"Bar staff",208
9275,"Leisure and theme park attendants",41
9279,"Other elementary services occupations n.e.c.4",26
