1. 1937,Snow White and the Seven Dwarfs (G)
429,1999,Summer of Sam (Touchstone)(R)
430,1999,Inspector Gadget (PG)
431,1999,The Sixth Sense (Hollywood)(PG-13)
432,1999,The 13th Warrior (Touchstone)(R)
433,1999,Breakfast of Champions (Hollywood)(R)
434,1999,Mumford (Touchstone)(R)
435,1999,Mystery Alaska (Hollywood)(R)
436,1999,The Hand Behind the Mouse: The Ub Iwerks Story (G)
437,1999,The Straight Story (G)
438,1999,The Insider (Touchstone)(R)
439,1999,Toy Story 2 (G)
440,1999,Deuce Bigalow: Male Gigolo (Touchstone)(R)
441,1999,Cradle Will Rock (Touchstone)(R)
442,1999,Bicentennial Man (Touchstone)(PG)
443,2000,Fantasia/2000 (G)
444,2000,Play It to the Bone (Touchstone)(R)
445,2000,Gun Shy (Hollywood)(R)
446,2000,The Tigger Movie (G)
447,2000,Mission to Mars (Touchstone)(PG)
448,2000,Whispers (G)
449,2000,High Fidelity (Touchstone)(R)
450,2000,Keeping the Faith (Touchstone)(PG-13)
451,2000,Dinosaur (PG)
452,2000,Shanghai Noon (Touchstone)(PG-13)
453,2000,Gone in 60 Seconds (Touchstone)(PG-13)
454,2000,Disney’s The Kid (PG)
455,2000,Coyote Ugly (Touchstone)(PG-13)
456,2000,The Crew (Touchstone)(PG-13)
457,2000,Duets (Hollywood)(R)
458,2000,Remember the Titans (PG)
459,2000,Playing Mona Lisa (no label)(R)
460,2000,Unbreakable (Touchstone)(PG-13)
461,2000,102 Dalmatians (G)
462,2000,The Emperor’s New Groove (G)
463,2000,O Brother, Where Art Thou? (Touchstone)(PG-13)
464,2001,Double Take (Touchstone)(PG-13)
465,2001,Recess: School’s Out (G)
466,2001,Just Visiting (Hollywood)(PG-13)
467,2001,Pearl Harbor (Touchstone)(PG-13)
468,2001,Atlantis: The Lost Empire (PG)
469,2001,crazy/beautiful (Touchstone)(PG-13)
470,2001,The Princess Diaries (G)
471,2001,Bubble Boy (Touchstone)(PG-13)
472,2001,New Port South (Touchstone)(PG-13)
473,2001,Max Keeble’s Big Move (PG)
474,2001,Corky Romano (Touchstone)(PG-13)
475,2001,High Heels and Low Lifes (Touchstone)(R)
476,2001,Monsters, Inc. (G)
477,2001,Out Cold (Touchstone)(PG-13)
478,2001,The Royal Tenenbaums (Touchstone)(R)
479,2002,Snow Dogs (PG)
480,2002,The Count of Monte Cristo (Touchstone)(PG-13)
481,2002,Return to Never Land (G)
482,2002,Sorority Boys (Touchstone)(R)
483,2002,The Rookie (G)
484,2002,Big Trouble (Touchstone)(PG-13)
485,2002,Frank McKlusky, C.I. (Touchstone)(PG-13)
486,2002,ESPN’s Ultimate X (Touchstone)(PG)
487,2002,Bad Company (Touchstone)(PG-13)
488,2002,Lilo & Stitch (PG)
489,2002,Reign of Fire (Touchstone)(PG-13)
490,2002,The Country Bears (G)
491,2002,Signs (Touchstone)(PG-13)
492,2002,Spirited Away (Walt Disney Studios)(PG-13)
493,2002,Moonlight Mile (Touchstone)(PG-13)
494,2002,Sweet Home Alabama (Touchstone)(PG-13)
495,2002,Tuck Everlasting (PG)
496,2002,Santa Clause 2 (G)
497,2002,Treasure Planet (PG)
498,2002,The Hot Chick (Touchstone)(PG-13)
499,2002,25th Hour (Touchstone)(R)
500,2003,The Recruit (Touchstone)(PG-13)
501,2003,Shanghai Knights (Touchstone)(PG-13)
502,2003,The Jungle Book 2 (G)
503,2003,Bringing Down the House (Touchstone)(PG-13)
504,2003,Piglet’s Big Movie (G)
505,2003,Ghosts of the Abyss (G)
506,2003,Holes (PG)
507,2003,The Lizzie McGuire Movie (PG)
508,2003,Finding Nemo (G)
509,2003,Pirates of the Caribbean: The Curse of the Black Pearl (PG-13)
510,2003,Freaky Friday (PG)
511,2003,Open Range (Touchstone)(R)
512,2003,Hope Springs (Touchstone)(PG-13)
513,2003,Cold Creek Manor (Touchstone)(R)
514,2003,Under the Tuscan Sun (Touchstone)(PG-13)
515,2003,Veronica Guerin (Touchstone)(R)
516,2003,Brother Bear (G)
517,2003,The Haunted Mansion (PG)
518,2003,Calendar Girls (Touchstone)(PG-13)
519,2003,The Young Black Stallion (G)
520,2004,Teacher’s Pet (PG)
521,2004,Miracle (PG)
522,2004,Confessions of a Teenage Drama Queen (PG)
523,2004,Hidalgo (Touchstone)(PG-13)
524,2004,The Ladykillers (Touchstone)(R)
525,2004,Home on the Range (PG)
526,2004,The Alamo (Touchstone)(PG-13)
527,2004,Sacred Planet (G)
528,2004,Raising Helen (Touchstone)(PG-13)
529,2004,Around the World in 80 Days (PG)
530,2004,America’s Heart & Soul (PG)
531,2004,King Arthur (Touchstone)(PG-13)
532,2004,The Village (Touchstone)(PG-13)
533,2004,The Princess Diaries 2: Royal Engagement (G)
534,2004,Mr. 3000 (Touchstone)(PG-13)
535,2004,The Last Shot (Touchstone)(R)
536,2004,Ladder 49 (Touchstone)(PG-13)
537,2004,The Incredibles (PG)
538,2004,National Treasure (PG)
539,2004,The Life Aquatic with Steve Zissou (Touchstone)(R)
540,2005,Aliens of the Deep (G)
541,2005,Pooh’s Heffalump Movie (G)
542,2005,The Pacifier (PG)
543,2005,Ice Princess (G)
544,2005,A Lot Like Love (Touchstone)(PG-13)
545,2005,he Hitchhiker’s Guide to the Galaxy (Touchstone)(PG)
546,2005,Howl’s Moving Castle (PG)
547,2005,Herbie: Fully Loaded (G)
548,2005,Dark Water (Touchstone)(PG-13)
549,2005,Sky High (PG)
550,2005,Valiant (G)
551,2005,Flightplan (Touchstone)
552,2005,The Greatest Game Ever Played (PG)
553,2005,Shopgirl (Touchstone)(R)
554,2005,Chicken Little (G)
555,2005,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (PG)
556,2005,Casanova (Touchstone)
557,2006,Glory Road (PG)
558,2006,Annapolis (Touchstone)(PG-13)
559,2006,Roving Mars (G)
560,2006,Eight Below (PG)
561,2006,The Shaggy Dog (PG)
562,2006,Stay Alive (Hollywood Pictures)(PG-13)
563,2006,The Wild (G)
564,2006,Stick It (Touchstone)(PG-13)
565,2006,Goal! The Dream Begins (Touchstone)(PG)
566,2006,Cars (G)
567,2006,Pirates of the Caribbean: Dead Man’s Chest (PG-13)
568,2006,Step Up (Touchstone)(PG-13)
569,2006,Invincible (PG)
570,2006,The Guardian (Touchstone)(PG-13)
571,2006,The Prestige (Touchstone)(PG-13)
572,2006,The Santa Clause 3: The Escape Clause (G)
573,2006,Déjà Vu (Touchstone)(PG-13)
574,2006,Apocalypto (Touchstone)(R)
575,2007,Primeval (Hollywood Pictures)(R)
576,2007,Bridge to Terabithia (PG)
577,2007,Wild Hogs (Touchstone)(PG-13)
578,2007,Meet the Robinsons (G)
579,2007,The Invisible (Hollywood Pictures)(PG-13)
580,2007,Pirates of the Caribbean: At World’s End (PG-13)
581,2007,Ratatouille (G)
582,2007,The Secret of the Magic Gourd (NR)
583,2007,Underdog (PG)
584,2007,The Game Plan (PG)
585,2007,Dan in Real Life (PG-13)
586,2007,Enchanted (PG)
587,2007,National Treasure: Book of Secrets (PG)
588,2008,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert (G)
589,2008,Step Up 2 the Streets (Touchstone)(PG-13)
590,2008,College Road Trip (G)
591,2008,The Chronicles of Narnia: Prince Caspian (PG)
592,2008,WALL•E (G)
593,2008,Swing Vote (Touchstone)(PG-13)
594,2008,Tinker Bell (G)
595,2008,Miracle at St. Anna (Touchstone)(R)
596,2008,Beverly Hills Chihuahua (PG)
597,2008,Morning Light (PG)
598,2008,High School Musical 3: Senior Year (G)
599,2008,Roadside Romeo (NR)
600,2008,Bolt (PG)
601,2008,Bedtime Stories (PG)
602,2009,Confessions of a Shopaholic (Touchstone)(PG)
603,2009,Jonas Brothers: The 3D Concert Experience (G)
604,2009,Race to Witch Mountain (PG)
605,2009,Hannah Montana the Movie (G)
606,2009,Earth (Disneynature)(G)
607,2009,Trail of the Panda (NR)
608,2009,The Boys: The Sherman Brothers’ Story (PG)
609,2009,Up (PG)
610,2009,The Proposal (Touchstone)(PG-13)
611,2009,G-Force (PG)
612,2009,Ponyo (G)
613,2009,X-Games 3D: The Movie (PG)
614,2009,Walt & El Grupo (PG)
615,2009,Surrogates (Touchstone)(PG-13)
616,2009,Tinker Bell and the Lost Treasure (G)
617,2009,Kniga Masterov (The Book of Masters) (NR)
618,2009,Disney’s A Christmas Carol (PG)
619,2009,Old Dogs (PG)
620,2009,The Princess and the Frog (G)
621,2010,When in Rome (PG-13)
622,2010,Alice in Wonderland (PG)
623,2010,Waking Sleeping Beauty (PG)
624,2010,The Last Song (Touchstone)(PG)
625,2010,Oceans (Disneynature)(G)
626,2010,Prince of Persia: The Sands of Time (PG-13)
627,2010,Toy Story 3 (G)
628,2010,The Sorcerer’s Apprentice (PG)
629,2010,Step Up 3D (Touchstone)(PG-13)
630,2010,Tales from Earthsea (PG-13)
631,2010,The Switch (Miramax)(PG-13)
632,2010,Tinker Bell and the Great Fairy Rescue (G)
633,2010,You Again (Touchstone)(PG)
634,2010,Secretariat (PG)
635,2010,Tangled (PG)
636,2010,The Tempest (Touchstone/Miramax)(PG-13)
637,2010,Tron: Legacy (PG)
638,2011,Once Upon a Warrior (NR)
639,2011,Gnomeo & Juliet (Touchstone)(G)
640,2011,I Am Number Four (Touchstone/DreamWorks)(PG-13)
